"Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Ratio..g.ml.","Name","Ratio..g.ml..1","Name.1","Ratio..g.ml..2","Name.2","Ratio..g.ml..3","Name.3","Ratio..g.ml..4","y"
0,0.0377358490566038,0,0.166666666666667,0,0.338745387453875,0.0454545454545455,0.307547169811321,0.981327800829876,1,0.153846153846154,0.304852805887765,0.75,0.1255,0.25,0.165,0,0,0.1642
0.495192759387429,0.69811320754717,0.25,0,0.111111111111111,0,0.363636363636364,0.452830188679245,0.24896265560166,0.0252817544928419,0,0.0737120515179393,1,0.0195,0,0,0.666666666666667,0.075,0.44
0.495192759387429,0.69811320754717,0.25,0,0.111111111111111,0,0.363636363636364,0.452830188679245,0.24896265560166,0.0252817544928419,0,0.0725620975160994,1,0.0195,0,0,0.666666666666667,0.1,0.39
0.291785412295262,0.471698113207547,0.5,0.166666666666667,0.555555555555556,0.331365313653137,0.363636363636364,0.462264150943396,0.518672199170124,0.235455376180323,0.230769230769231,0.338776448942042,1,0.5,0,0,0,0,0.36
0.291785412295262,0.471698113207547,0.5,0.166666666666667,0.555555555555556,0.331365313653137,0.363636363636364,0.462264150943396,0.518672199170124,0.235455376180323,0.230769230769231,0.338776448942042,1,0.5,0,0,0,0,0.49
0.291785412295262,0.471698113207547,0.5,0.166666666666667,0.555555555555556,0.331365313653137,0.363636363636364,0.462264150943396,0.518672199170124,0.235455376180323,0.230769230769231,0.338776448942042,1,0.75,0,0,0,0,0.3
0.291785412295262,0.471698113207547,0.5,0.166666666666667,0.555555555555556,0.331365313653137,0.363636363636364,0.462264150943396,0.518672199170124,0.235455376180323,0.230769230769231,0.338776448942042,1,0.75,0,0,0,0,0.28
0.291785412295262,0.471698113207547,0.5,0.166666666666667,0.555555555555556,0.331365313653137,0.363636363636364,0.462264150943396,0.518672199170124,0.235455376180323,0.230769230769231,0.338776448942042,1,0.75,0,0,0,0,0.43
0.291785412295262,0.471698113207547,0.5,0.166666666666667,0.555555555555556,0.331365313653137,0.363636363636364,0.462264150943396,0.518672199170124,0.235455376180323,0.230769230769231,0.338776448942042,1,1,0,0,0,0,0.23
0.492342864301149,0.622641509433962,0.5,0.833333333333333,0.222222222222222,0.911439114391144,0.454545454545455,0.939622641509434,0.477178423236515,0,0.307692307692308,0,0,0,0.375,0.0675,0,0,0.53
0.492342864301149,0.622641509433962,0.5,0.833333333333333,0.222222222222222,0.911439114391144,0.454545454545455,0.939622641509434,0.477178423236515,0,0.307692307692308,0,0,0,0.375,0.0675,0,0,0.537
0.492342864301149,0.622641509433962,0.5,0.833333333333333,0.222222222222222,0.911439114391144,0.454545454545455,0.939622641509434,0.477178423236515,0,0.307692307692308,0,0,0,0.5,0.082,0,0,0.137
0.686793398265009,0.226415094339623,1,1,1,1,0.681818181818182,0.694339622641509,0.477178423236515,0.0526957051477307,0,0.108785648574057,0.5,0.0675,0.625,0.25,0,0,0.6
0.686793398265009,0.226415094339623,1,1,1,1,0.681818181818182,0.694339622641509,0.477178423236515,0.0526957051477307,0,0.108785648574057,0.5,0.0675,0.625,0.5,0,0,0.48
0.686793398265009,0.226415094339623,1,1,1,1,0.681818181818182,0.694339622641509,0.477178423236515,0.0526957051477307,0,0.108785648574057,0.5,0.0675,0.625,0.75,0,0,0.54
0.686793398265009,0.226415094339623,1,1,1,1,0.681818181818182,0.694339622641509,0.477178423236515,0.0526957051477307,0,0.22378104875805,0.5,0.0675,0.625,0.25,0,0,0.46
0.686793398265009,0.226415094339623,1,1,1,1,0.681818181818182,0.694339622641509,0.477178423236515,0.0526957051477307,0,0.22378104875805,0.5,0.0675,0.625,0.5,0,0,0.33
0.686793398265009,0.226415094339623,1,1,1,1,0.681818181818182,0.694339622641509,0.477178423236515,0.0526957051477307,0,0.22378104875805,0.5,0.0675,0.625,0.75,0,0,0.37
0.686793398265009,0.226415094339623,1,1,1,1,0.681818181818182,0.694339622641509,0.477178423236515,0.0526957051477307,0,0.338776448942042,0.5,0.0675,0.625,0.25,0,0,0.52
